Date,MSFT ,AAPL ,V ,MA ,INTC ,CSCO ,ADBE ,CRM ,IBM ,ORCL ,TXN ,PYPL ,ACN ,NVDA ,AVGO ,QCOM ,FIS ,ADP ,INTU ,FISV ,MU ,GPN ,AMAT ,ADI ,LRCX ,CTSH ,AMD ,ADSK ,TEL ,APH ,MSI ,PAYX ,KLAC ,FLT ,HPQ ,XLNX ,MCHP ,GLW ,SNPS ,HPE ,VRSN ,ANSS ,CDNS ,KEYS ,CDW ,WDC ,MXIM ,AKAM ,SWKS ,BR ,SYMC ,IT ,ANET ,STX ,NTAP ,CTXS ,FTNT ,LDOS ,JKHY ,WU ,QRVO ,JNPR ,FFIV ,DXC ,SSIXX ,FLIR ,XRX ,ADS ,IPGP 
12/31/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
12/31/2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91.322,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
12/31/2010,98.941,98.342,98.424,94.345,95.855,85.808,59.039,83.392,93.022,66.62,96.992,#N/A,90.307,68.111,98.691,95.064,83.38,94.37,90.115,93.923,#N/A,72.824,95.993,81.633,81.831,99.033,94.857,84.321,81.816,#N/A,88.916,97.654,69.944,#N/A,48.727,88.505,97.507,96.2,98.127,#N/A,98.42,98.919,97.82,#N/A,#N/A,95.449,73.35,88.065,94.83,#N/A,98.609,98.95,#N/A,98.519,94.132,97.653,99.23,95.695,99.514,95.807,#N/A,92.176,97.793,#N/A,,97.894,79.703,94.524,99.794
12/30/2011,94.123,83.217,98.891,96.752,97.333,95.818,57.9,94.127,96.208,40.924,95.611,#N/A,93.155,96.94,#N/A,68.753,90.589,96.57,93.252,94.474,91.006,95.76,92.637,88.493,95.228,97.246,93.839,53.984,80.806,97.513,58.791,97.713,97.33,#N/A,78.808,90.97,94.836,94.973,99.152,#N/A,98.801,99.195,#N/A,#N/A,#N/A,94.168,69.153,52.349,92.16,95.2,97.582,99.224,#N/A,99.197,94.991,97.77,96.75,88.225,99.52,98.406,#N/A,66.828,98.284,#N/A,,#N/A,95.228,98.204,#N/A
12/31/2012,95.895,61.055,97.725,96.795,68.71,96.142,81.194,82.717,95.358,43.344,95.481,#N/A,97.17,98.593,#N/A,94.519,86.31,97.887,92.105,95.24,93.494,96.128,97.403,89.683,82.904,98.641,87.021,65.046,89.482,96.86,68.372,94.346,98.67,#N/A,76.272,93.792,96.529,70.729,98.61,#N/A,99.596,99.08,98.349,#N/A,#N/A,98.237,71.514,95.767,93.791,98.64,97.993,99.432,#N/A,95.222,97.563,97.29,98.44,87.228,99.37,97.875,#N/A,94.169,96.975,#N/A,,#N/A,96.823,98.262,#N/A
12/31/2013,72.647,96.924,97.679,96.832,95.13,93.694,90.714,75.692,95.394,45.86,97.038,#N/A,96.901,98.137,65.192,95.542,86.175,96.951,82.234,96.21,95.766,80.906,89.917,96.607,96.959,98.733,71.214,88.462,90.004,98.152,98.358,93.642,99.058,30.203,90.681,95.869,96.898,95.884,98.098,#N/A,97.961,99.465,92.454,#N/A,98.59,95.446,82.937,98.651,96.464,98.83,76.23,97.955,#N/A,94.129,95.938,97.241,99.73,87.785,98.891,96.493,#N/A,85.907,95.748,#N/A,,85.586,95.588,97.352,99.29
12/31/2014,72.656,74.631,96.563,96.869,95.681,91.331,91.854,52.651,93.648,48.351,95.908,#N/A,96.32,98.646,#N/A,57.789,85.748,97.448,85.869,97.222,95.962,84.314,85.482,97.914,96.844,97.866,71.046,88.489,93.671,98.254,97.695,96.784,97.435,#N/A,95.782,94.841,97.533,96.13,96.726,#N/A,98.063,96.862,98.357,93.646,99.667,95.211,79.594,98.823,96.394,95.129,96.656,98.327,#N/A,95.748,95.606,95.854,99.583,#N/A,99.43,95.98,99.288,95.999,93.74,#N/A,,#N/A,88.774,98.767,#N/A
12/31/2015,96.089,95.166,97.685,96.707,96.339,92.803,94.307,60.2,81.947,45.245,95.149,97.29,96.88,97.969,#N/A,93.507,84.316,96.414,83.307,95.546,94.263,98.824,83.572,98.36,98.451,95.957,89.914,86.103,96.919,97.299,97.247,96.933,96.147,#N/A,95.561,92.776,85.417,95.162,95.711,#N/A,98.302,98.578,96.832,87.426,99.414,94.649,93,90.343,96.798,95.454,96.944,99.032,99.552,95.2,98.272,84.156,96.974,93.693,99.236,97.161,98.334,83.796,87.931,#N/A,,#N/A,97.085,98.891,#N/A
12/30/2016,95.545,95.273,97.203,78.703,94.9,94.227,95.636,96.856,54.254,48.644,94.686,96.296,95.673,97.907,87.63,93.643,82.772,97.273,84.213,85.491,97.195,#N/A,97.746,97.887,95.517,93.998,93.382,94.882,94.817,97.183,95.744,96.579,93.311,37.386,93.16,98.361,93.09,91.893,93.646,83.863,99.248,97.563,98.312,94.507,98.246,41.895,94.826,84.273,95.379,96.469,86.836,98.836,98.757,95.534,97.631,86.006,96.058,95.838,99.319,95.255,87.175,74.945,88.761,#N/A,,96.573,93.552,98.51,98.869
12/29/2017,95.958,94.933,97.116,94.79,94.364,94.5,94.821,98.132,88.881,53.922,94.037,88.387,95.101,97.87,#N/A,84.802,55.737,97.489,96.06,94.007,93.4,97.941,96.23,96.837,91.354,91.709,95.541,96.464,93.836,94.056,69.34,96.097,95.006,14.332,92.721,89.522,95.101,90.47,93.146,94.917,98.375,95.479,96.424,96.786,94.835,88.179,95.586,91.601,93.562,94.981,90.415,90.004,96.45,94.835,96.98,93.515,93.199,96.428,99.31,93.349,83.909,95.442,86.656,90.994,,59.513,64.284,95.356,#N/A
12/31/2018,#N/A,93.744,96.167,94.741,60.23,82.186,93.782,#N/A,87.783,#N/A,92.817,55.095,93.172,#N/A,86.227,79.428,93.087,#N/A,95.073,93.04,89.96,77.966,96.155,95.555,#N/A,87.584,97.294,#N/A,#N/A,92.498,92.527,#N/A,#N/A,25.68,93.782,#N/A,84.716,94.067,93.148,95.561,96.565,93.374,92.542,97.61,95.221,#N/A,#N/A,97.083,72.343,#N/A,#N/A,97.337,92.324,#N/A,#N/A,89.021,94.121,96.183,#N/A,92.907,#N/A,91.363,81.321,78.793,,92.114,40.225,93.177,#N/A
