Date,BRK/B ,JPM ,BAC ,WFC ,C ,AXP ,USB ,CME ,CB ,GS ,PNC ,SPGI ,MS ,ICE ,BLK ,MMC ,AIG ,AON ,PGR ,SCHW ,COF ,BBT ,AFL ,BK ,TRV ,MET ,PRU ,ALL ,MCO ,STI ,TROW ,DFS ,WLTW ,STT ,HIG ,MTB ,SYF ,NTRS ,FITB ,MSCI ,AMP ,CINF ,KEY ,AJG ,FRC ,CFG ,RF ,HBAN ,PFG ,MKTX ,L ,CBOE ,LNC ,NDAQ ,SIVB ,RE ,RJF ,CMA ,GL ,ETFC ,ZION ,AIZ ,BEN ,PBCT ,IVZ ,UNM ,AMG ,SSIXX 
12/31/2007,175000,28887532,24844040,37672410,24400086,26249876,6473874,3604984,14828403,53966198,33547983,10118852,41802315,5174492,41874338,16748475,14344192,17566681,9184920,6570544,20412429,7941935,14026203,46966511,16555457,25040815,22220349,10842570,8098079,4549852,7928113,8003121,8134716,26966097,13416310,3496047,#N/A,14435087,19741710,3726138,24186374,2120911,9184258,3404810,#N/A,#N/A,19370602,2185207,11837528,2093500,11522077,#N/A,39951766,11349490,3354268,5708262,6605968,7717890,6039889,16958620,#N/A,3619747,7126298,8471950,21355187,13769784,20910947,
12/31/2008,175000,35764557,9959076,13782433,38237437,27327318,8242592,4079484,14201363,40946646,12248352,7971204,1908522,6403454,20641281,40765677,29692048,26139492,9314597,16588292,9822702,7464872,10783233,14183633,14498858,24484381,21584843,7958099,6425812,8091887,5702770,2431100,19903286,33812307,7283937,3238355,#N/A,8379651,4690437,12069762,15084635,4542315,6727549,3038975,#N/A,#N/A,6807662,2553468,7967678,3085949,12517065,3563007,7809349,11336221,1659817,7334580,5722927,5947475,4710916,15970547,#N/A,10946086,10472646,15821312,13484901,12262978,10429004,
12/31/2009,519490,1322094,4209666,21340547,128751,17398568,8211846,4729014,13128238,862657,18027856,7168335,1249666,7672370,15859416,27487217,22648403,26689653,9128036,10029410,6087365,5145917,13591511,14046435,20122010,11600338,18425632,10420560,5424636,7672822,4729805,4381900,10926880,7994758,9515806,5324773,#N/A,11891070,6833822,4254395,18825496,2114147,8152386,3688720,7171254,#N/A,9668729,2439152,4909023,3435585,15838677,3408967,11966911,13841825,1870484,6623438,4205524,4266395,2836298,4045936,#N/A,8542491,4474437,4036842,13236957,9378363,18031769,
12/31/2010,524946,20816289,1940069,18973722,8022761,16813272,18771205,6906028,15620587,14116423,16600793,9483801,15185737,3183353,23839274,27606845,26588322,40457002,9605558,10018919,14859688,10381596,15955183,19379257,19832908,13867854,21962279,9299620,9146844,10270524,7136137,8552921,15092972,23902769,10601860,4863835,#N/A,12760081,6363768,5493120,17729054,3140533,7087746,3808110,36334116,#N/A,8025291,4932472,8246982,4111145,14196427,9582298,9884719,5813634,3784540,6775737,5816956,8845449,8048168,3930231,#N/A,7869488,6728758,12979226,16787888,11484780,19968321,
12/30/2011,491925,23105415,8087181,19847921,25515755,23038691,13619458,6000074,16612885,16164405,16607150,8742607,12981856,8675780,21877856,24519104,28355698,23635735,9615767,10104377,18668058,7458475,14627880,12350260,16479430,28464664,33687204,11179816,11917042,20301883,7885309,13890296,6754804,16187964,7938307,5648938,#N/A,14305400,9962963,2187640,18849585,4065239,9738339,3982664,3695705,#N/A,6381475,6445710,9205527,9630481,17405197,3182334,16016179,7567796,9734342,10458425,3711176,9819167,13467753,6294374,#N/A,9389340,9877522,3750051,18525575,12233703,14862554,
12/31/2012,423923,18717013,8321300,22878085,21932198,28491734,18213839,9349773,15556512,13300866,8924806,10843131,10672214,7429916,20231401,17008351,17961221,19787133,9650539,10232432,22605374,11708334,13818362,13805158,15729551,13669011,30693655,17058555,11854354,9542263,8436501,9959112,7681016,15629291,11157261,6390109,#N/A,11083195,11581931,6000802,17828431,2068916,6272426,4499688,15170396,#N/A,11897084,6932505,10609725,4658000,16745841,2695579,14926843,8911306,3445568,17446148,4518752,10242574,23361587,13200891,#N/A,12307289,12320171,3704427,18427352,13811307,19800156,
12/31/2013,485606,11791833,13139357,19320409,17558119,21837420,10793663,4149354,17785347,19928813,16483312,12523332,14408563,17981469,22942256,13287328,24271556,21188092,9784774,12726488,18324525,11993625,18582055,14319488,18087994,14614338,16741287,18673723,8411989,5943602,8501917,21171839,16701164,15841234,17670315,7098216,#N/A,9168000,10303117,5689245,19752269,3501957,7532204,4618284,6224155,13186598,10314425,6634185,9034901,4941383,5905810,10928236,12178158,13840024,3986888,21287058,4782042,6463206,13404823,14068395,#N/A,7089592,12132702,3870954,14381762,9112920,20007855,
12/31/2014,464011,27701709,15342399,21426391,14457199,22796083,19373076,5368575,19678174,22162912,11337904,6498116,23270044,10621045,23862458,14906638,38727842,21589787,9841581,11841179,19636474,14118763,15477348,11659528,20435381,15163802,48676388,15641385,14099502,9190668,8902148,8671740,13669086,18842196,5392784,7734948,14783661,12435522,9415868,5999922,24455192,2623807,7124566,5626778,5931664,10523755,14421247,7498609,16919388,5350837,10488459,4366757,12195333,12083929,4072772,6491892,6008669,11311926,14983349,5258458,#N/A,11903533,15904296,3698121,20255736,13314589,5369597,
12/31/2015,470244,18230313,13823354,19318604,14598423,21988091,11585010,4918001,20381147,22586152,12719126,7774273,22116052,10836448,25792630,15596718,12497975,39010970,10143552,12337373,18015174,11696892,11982383,13482434,26958384,15700881,16673171,13873693,9070669,7909407,8748249,8505928,9013163,11341487,10022419,7000974,12350949,12760550,14426530,6429928,20670971,2163984,6994704,5467311,7073453,7996962,10784667,7830302,15476075,13696004,5278399,4799282,12015334,14863576,4927134,8161716,6622305,6860019,11630082,5562029,#N/A,8274225,15097340,4190162,20664368,14008219,17506689,
12/30/2016,487881,27236892,15940132,34356612,13381758,17463639,15345994,8400480,24419486,20206898,13141460,9045769,21205835,10730399,25472831,15749939,9576535,28077798,16657553,19547649,16921137,11610083,20412010,19165598,11558119,15281939,24444255,13813515,9015756,8173407,9082395,8776023,44276460,14691841,10079121,6717493,10260358,11167322,7555081,22164262,16610175,4249903,8167203,5739167,8616654,9239524,14063424,8931612,8970708,5833462,11027401,5953583,13265412,15302904,5125780,8827677,8249813,9942289,12365746,15484310,2807004,7797881,12101317,4658454,14607055,8671319,14732572,
