Date,MSFT ,AAPL ,V ,MA ,INTC ,CSCO ,ADBE ,CRM ,IBM ,ORCL ,TXN ,PYPL ,ACN ,NVDA ,AVGO ,QCOM ,FIS ,ADP ,INTU ,FISV ,MU ,GPN ,AMAT ,ADI ,LRCX ,CTSH ,AMD ,ADSK ,TEL ,APH ,MSI ,PAYX ,KLAC ,FLT ,HPQ ,XLNX ,MCHP ,GLW ,SNPS ,HPE ,VRSN ,ANSS ,CDNS ,KEYS ,CDW ,WDC ,MXIM ,AKAM ,SWKS ,BR ,SYMC ,IT ,ANET ,STX ,NTAP ,CTXS ,FTNT ,LDOS ,JKHY ,WU ,QRVO ,JNPR ,FFIV ,DXC ,SSIXX ,FLIR ,XRX ,ADS ,IPGP 
12/31/2007,1279821,1,11147317,11407158,12320100,10984287,8874543,10,25130728,34968104,10303659,#N/A,#N/A,4632002,#N/A,15083232,15561513,11651642,12726019,6763039,3368316,3470153,12947046,11348996,8371321,3234875,8085990,12142673,19273370,5470509,17258070,4673044,6689216,#N/A,25139830,4444887,4407666,11587866,4240380,#N/A,29263364,2616210,13509651,#N/A,#N/A,25747672,9890021,4455322,2811665,2521913,4781715,7099245,#N/A,3405851,6429982,3615382,#N/A,6991966,657840,1675700,#N/A,5269003,5738834,#N/A,,3917426,,6303338,585267
12/31/2008,1350834,1,17974496,10363533,12407800,10984287,8433578,10,28542392,84598700,9660182,#N/A,#N/A,6136902,#N/A,18567015,10101473,9593973,24944155,5385294,8311897,4498081,11632871,8605574,7070209,6513330,4886324,6987561,8594438,2580507,131282062,5232842,6589075,#N/A,42525170,4342545,3772766,10614974,5780810,#N/A,10934314,2206141,11681328,#N/A,#N/A,12597839,2566247,4181541,6249244,4402474,5638844,7369506,#N/A,7361933,5907776,4490317,937151,6453468,985616,2190000,#N/A,40047724,6072098,#N/A,,9992968,,13078971,619084
12/31/2009,1276627,14001041,13167514,10331575,14581900,9158123,6663781,343263,24313795,84501759,9865657,#N/A,#N/A,4010370,#N/A,17430888,25296619,7850957,3711548,5757685,8185986,5915216,6571219,2938218,4275291,5624116,4547527,8107743,5874474,6101279,12261722,4067539,4417246,4372031,29465175,2104313,3305445,9050391,4823026,#N/A,6628099,2337598,6282095,#N/A,#N/A,11590374,3757121,7053507,3500127,6990650,10910536,7312886,#N/A,13166512,4693512,5168534,664816,8695878,904720,8138700,#N/A,7745926,4969580,#N/A,,5977926,,8494982,451604
12/31/2010,1351121,1,12914881,31873197,15652500,18871875,12228214,9102420,31718608,70143075,12213420,#N/A,15315546,3482145,#N/A,17626939,25761432,9121933,13871791,5886908,9788856,5457246,9748295,13929455,6209882,11182544,5549838,6230916,10906691,6932325,26755036,4657403,9831637,24519807,31960712,3232717,5053479,11365689,4366158,#N/A,5874484,3707806,3228343,#N/A,#N/A,7025551,4003086,5964827,4346753,6662225,9022349,8178344,#N/A,2420182,18606517,8243347,741478,12869966,1519116,15613500,#N/A,10013572,8884962,#N/A,,5370392,,5920509,922296
12/30/2011,1376915,377996538,11824090,8344951,17491900,12886125,10825110,20815290,31798918,77559820,14055767,#N/A,25889032,5279192,#N/A,21722333,11106501,8904803,11632989,6716226,8641644,5766684,9555333,8943893,9393245,11761958,24374632,6060680,9700046,5952358,29332514,5427234,6903231,1640821,46931706,4125800,5317406,10333531,5209712,#N/A,9841994,4256726,5336538,#N/A,2821162,7007774,3971430,11876747,5935947,4873639,8509683,7971111,#N/A,5198988,8342123,8171364,1625036,5153040,3209944,7872400,#N/A,10693403,7707496,#N/A,,6230612,,6332706,1242734
12/31/2012,1318128,4174992,9700114,11281457,18991300,11687666,12012951,17714306,16184727,96160696,13316639,#N/A,12290094,6642422,#N/A,20730873,12662094,14668071,12564585,7064864,18927864,6897497,9220058,12726600,7082457,10612419,7298328,15399214,9830941,6347121,10325173,7034145,6416395,10521801,15362142,4778535,6210180,12647804,9665506,#N/A,5856877,4351927,5406543,#N/A,3217606,17220878,3708518,9773461,3943830,5392500,9388462,7998203,#N/A,9186084,7598384,10743967,2284388,5345055,3720833,6992200,#N/A,6945920,5214649,#N/A,,5214629,,6959844,858017
12/31/2013,1261218,4252727,30400153,12362590,16205700,21049501,15747478,22100904,13965677,79606159,13712859,#N/A,14786395,5544194,#N/A,20448940,14144081,6337755,12463678,7527097,6910318,6848170,19606152,4638371,5571653,11347676,8211490,9406409,10473028,6830687,12621931,5260278,6380906,32858319,17643243,4493793,4589433,11213864,9834716,#N/A,8541127,3065663,5191475,4758690,6297401,16271065,4628765,7631580,5800648,5417916,23840984,8248302,321370,19758406,6311397,17401054,2514070,6476031,3480127,87759000,#N/A,8699303,8252680,#N/A,,7334282,,7612703,1009819
12/31/2014,84792339,9222638,7692113,13406041,11197400,16488184,17890918,31333332,19345125,67261251,15043694,#N/A,15925463,6025252,17202596,117682584,8485000,8237147,16548469,8275917,11479108,13092689,16425005,6090567,15009218,11333063,19477617,8297290,11616982,7857315,7969131,6006823,6889513,17387071,19612164,6471480,5767310,13034461,8981778,#N/A,7652865,5292269,5010894,6273686,5995797,11290562,3756073,7499989,6912623,6272497,13476143,8981227,988760,2615517,8577575,14110360,2474653,7477451,3720597,82418000,#N/A,38076527,8143742,#N/A,,4616007,,8727450,1180164
12/31/2015,18294270,10281327,11841368,15538463,14633500,19621124,18357186,39907534,19821950,170128334,14925802,14444491,15776214,9297040,4025768,10372325,18305692,8281535,16015331,10001319,9397821,10205547,18092808,7814186,11164739,11951383,6559194,11040453,12165077,7278691,13275325,5908748,8382898,10181898,17135546,5900770,5501485,10438988,9836354,#N/A,10150707,9987330,5929493,13662678,6967615,11708163,5891096,8499917,10158055,7654054,16330433,9634533,734528,11647291,9391544,35476203,3648585,6798523,3800379,8569800,551685,9421603,13618463,#N/A,,8210946,,8731974,1413416
12/30/2016,17692031,8747719,16442340,16892056,19079000,25894346,20035334,33362903,32695699,82065708,15080069,18934341,18499843,9971101,24692047,11066012,20020448,10867963,18788385,21241782,5601837,8237403,19680422,7150024,10556031,8256640,11724775,12176677,11376284,7405165,12224711,5782395,12626553,29378063,28696267,5897110,10760942,11309255,11428180,35564351,10700372,7371075,7610736,8482612,5751498,10546393,4854605,6258770,13744085,8321069,14391801,10242870,3078302,10420845,14630462,23418804,2213445,7884897,4017257,9285500,6496194,7544013,10387270,#N/A,,5737770,,7840417,1481397
