Date,BRK/B ,JPM ,BAC ,WFC ,C ,AXP ,USB ,CME ,CB ,GS ,PNC ,SPGI ,MS ,ICE ,BLK ,MMC ,AIG ,AON ,PGR ,SCHW ,COF ,BBT ,AFL ,BK ,TRV ,MET ,PRU ,ALL ,MCO ,STI ,TROW ,DFS ,WLTW ,STT ,HIG ,MTB ,SYF ,NTRS ,FITB ,MSCI ,AMP ,CINF ,KEY ,AJG ,FRC ,CFG ,RF ,HBAN ,PFG ,MKTX ,L ,CBOE ,LNC ,NDAQ ,SIVB ,RE ,RJF ,CMA ,GL ,ETFC ,ZION ,AIZ ,BEN ,PBCT ,IVZ ,UNM ,AMG ,SSIXX 
12/31/2007,219355.2483,146622.2576,183125.0155,101268.5665,146644.5931,60833.5355,54804.267,36525.8642,20361.7306,95910.7495,22354.9289,14413.49,56361.84,13390.6079,28060.2281,13768.3792,147862.6776,13913.949,13375.5944,29547.1029,18215.133,16851.8453,30551.8402,55522.1108,34698.3304,45635.5336,42240.16,29808.516,9224.8798,21756.1563,16075.6252,7201.5219,5425.947,31359.8945,27364.127,8707.7282,#N/A,16843.1585,13385.5319,3840.0001,12779.8161,6563.5966,9116.6305,2271.441,#N/A,#N/A,16438.9961,5400.6605,18008.2482,428.697,26660.0843,#N/A,15674.4184,5631.2591,1672.7357,6311.686,3920.8819,6573.8178,5579.5769,1639.2909,4994.8728,7888.1257,28037.1345,5291.3917,13127.5091,8584.1577,3512.5238,#N/A
12/31/2008,149571.5442,117681.2295,70647.5137,111839.5773,36566.4137,21516.0005,43881.9959,13939.9981,17653.1595,40904.0668,17058.9385,7293.255,16803.4782,5955.8202,17544.2847,12476.6879,21010.9604,12323.6549,10006.0831,18679.5891,12489.9801,15171.3064,21367.0973,32510.5597,26420.4318,27664.593,12830.24,17558.1143,4817.5821,10460.3891,9157.5509,4574.2761,4138.2456,16988.7116,4935.3725,6331.5194,#N/A,11628.9926,4770.0391,1776.9804,5059.7341,4720.471,4217.4666,2461.45,#N/A,#N/A,5507.9697,2803.9462,5853.3017,274.637,12319.5795,#N/A,4820.8055,4946.8752,860.0948,4676.024,2060.6859,2987.1451,3800.9842,618.4127,2827.0716,3528.5099,14841.9309,6200.8962,5558.9364,6158.8024,1721.9352,
12/31/2009,153547.105,171052.6032,149647.6021,137995.2838,93543.1601,48185.1405,43048.6604,22347.9572,16955.4825,91455.2797,24351.5157,10552.2988,40239.2271,8226.7615,43824.2211,11647.4897,20910.3162,10502.1928,12129.3688,21871.3097,17250.1088,17444.8434,21640.338,33682.7052,27242.1723,28944.2473,23088.64,16115.8164,6338.2,10127.7639,13711.9823,7984.806,4440.7882,21537.7224,8908.7752,7899.1338,#N/A,12654.883,7754.3332,3290.4574,9899.2398,4269.282,4876.2017,2291.5181,#N/A,#N/A,6284.6892,2609.9313,7667.4086,477.581,15617.1128,#N/A,7515.7554,4183.4511,1708.4266,5173.5468,2928.1478,4468.7604,3638.3831,3283.2779,1773.233,3443.258,24151.4875,5815.8453,10071.9999,6476.0394,2832.3303,
12/31/2010,198312.3643,165827.4748,134535.8671,162658.9441,137407.3037,51665.563,51736.7499,21561.9787,21127.0208,92591.0004,31926.3566,11177.87,41165.3952,8715.9418,36422.7927,14857.9417,40219.4106,14732.1582,13180.7664,20443.5009,19446.7924,18238.227,26593.2816,37461.7249,25573.3365,43784.7189,28494.8989,17157.3066,6215.6679,14753.7959,16550.3403,10091.2419,5908.7194,23263.8382,11775.8964,10391.8634,#N/A,13419.9696,11689.4374,4627.513,14270.1959,5157.1036,7792.1711,3082.6544,3614.7617,#N/A,8792.5879,5930.6105,10430.6966,697.415,16194.9255,2059.7699,8809.112,4694.876,2227.7021,4663.6155,4085.4954,7455.0049,4782.4319,3533.0769,4311.9174,4104.4563,24910.295,5168.97,11117.0556,7681.2324,5116.954,
12/30/2011,189218.1901,126342.207,56355.4487,145338.3598,76922.7641,54787.1258,51622.3296,16177.5195,23644.9271,46181.7376,30340.8861,13194.1977,29161.5938,8758.355,31886.4059,17010.5642,44062.0024,15129.9438,12031.8172,14300.0543,19439.7443,17546.521,20193.2354,24143.5047,24423.7953,32977.0292,23656.64,13851.7014,7476.96,9504.8525,14387.848,13191.29,6733.8449,19830.537,7243.2719,9590.2888,#N/A,9557.9329,11699.5826,3970.2945,11231.2984,4936.9173,7327.7097,3774.8076,3944.3434,#N/A,5413.1709,4743.7711,7506.8205,1149.12,14930.7367,2325.3467,5858.3268,4342.6427,2067.0134,4516.3311,3901.3656,5126.006,4423.1853,2270.7651,3000.2461,3781.9708,20883.3291,4634.2187,9060.4876,6160.4551,4938.5466,
12/31/2012,221892.7571,167144.3026,125133.487,179932.8661,116010.5209,64323.6915,60059.0371,16892.7492,27116.7014,61817.2092,30838.0073,15198.26,37748.9997,9003.3018,36216.9771,18765.0102,52113.5469,17721.0935,12760.198,18310.4111,33696.9589,20366.5439,24908.334,30033.2013,27395.6741,35938.9876,24745.12,19353.0143,11216.3277,15275.7929,16596.0824,19459.1113,5798.5274,21850.6333,9790.7491,12604.7415,#N/A,12028.323,13641.5027,3783.7333,12890.2815,6370.7917,7861.3019,4310.0096,4292.5409,#N/A,10074.7118,5466.5518,8373.0988,1316.4605,16039.2699,2571.0213,7122.9118,4121.7881,2491.6222,5685.4267,5333.8852,5775.04,4905.0485,2560.2129,3941.221,2731.1779,26685.3048,4202.8346,11585.0556,5728.0548,6741.9521,
12/31/2013,292396.2849,219837.3849,166071.7031,239148.9779,158049.6682,97196.4064,73782.7192,26311.9992,35224.3195,83353.3785,41280.9364,21176.559,61194.0366,25876.4598,53554.697,26538.7897,75163.2855,25254.9196,16361.8985,33519.6462,44169.878,26307.8005,31134.8321,40129.3449,32962.6885,60447.3741,42697.86,24807.4344,16880.6109,19733.1796,21853.2482,26679.1841,7965.8185,32218.2996,16197.8251,15161.282,#N/A,14790.7194,18566.0321,5176.6195,22381.9052,8579.8148,12033.3366,6173.0781,6919.5707,#N/A,13623.9941,8014.4958,14515.3995,2518.249,18676.6692,4530.7786,13542.3624,6669.5256,4788.5872,7466.5038,7309.7297,8695.5742,7066.2924,5640.5693,5531.0724,4826.2239,36418.1728,4805.1469,16118.4683,9161.5711,11462.585,
12/31/2014,370652.646,233935.8501,188139.294,284385.5757,163925.6109,96266.3028,80432.9165,29860.9924,38110.0096,87260.9271,48006.118,24158.07,75947.2346,24715.565,59837.3314,30961.072,78409.0704,27039.5121,15902.6961,39421.1637,45895.3715,28012.4048,27526.3359,45670.0432,35078.2985,61448.5114,41430.68,29465.1885,19985.9666,21849.0266,22271.0825,29698.3899,7935.6386,32773.3811,17988.4538,16595.896,24804.4965,15873.0373,16789.1405,5314.7205,24404.3648,8473.7099,12041.9109,7597.4876,7196.13,13566.116,14535.577,8568.0559,15253.0667,2680.4061,15721.5365,5352.6108,14982.074,8041.2328,5902.0756,7705.5585,8147.5758,8416.5196,6968.5999,7013.6048,5785.5985,4807.5521,34460.7111,4674.9795,17026.3094,8789.4737,11794.7321,
12/31/2015,325274.6346,243065.0062,175242.0299,277660.714,154162.7573,68454.3031,74825.8818,30644.2164,37880.6033,80264.1923,48398.9695,26646.1728,61591.2854,30429.307,56569.7749,28925.3923,76657.6616,25257.8718,18588.5072,43353.1128,38403.0245,29497.4724,25561.6468,45051.5077,34334.135,53591.5119,36553.09,24047.8409,19837.2177,21831.8199,17950.8078,22921.6811,8753.0098,26775.3386,17801.646,21542.1987,25356.6446,16668.6719,15966.0567,7406.003,18528.9519,9695.1159,11018.49,7233.8936,9593.1668,13818.8041,12532.5,8811.0532,13167.9458,4161.3853,13606.7566,5351.3286,12437.8921,9553.6387,6122.5426,7887.9555,8298.3308,7392.8174,7049.5577,8683.5711,5577.2401,5302.6808,22146.8435,5010.2694,14190.91,8104.364,8632.9485,
12/30/2016,401644.409,308768.4144,223321.5359,276779.1306,169359.4672,67802.1179,87312.3762,39144.0508,61480.6074,99960.219,56901.222,27863.6147,79126.6995,33608.0414,62277.5964,34848.9898,67082.1955,29342.88,20617.7279,52324.2785,42075.9734,38153.1714,28403.9049,50096.6114,34774.4755,59232.4054,44745.8,27294.457,18021.6691,26920.2571,18320.779,28432.1988,16721.3515,29979.2946,17999.043,24254.2548,29939.6453,20163.69,20378.8968,7415.0803,17533.8168,12479.705,19744.6067,9245.8141,14154.8008,18238.2074,17676.7989,14340.8275,16645.2085,5521.2017,15779.8064,6006.1715,15146.6943,11088.4215,8941.5055,8845.1336,9834.3307,11732.8319,8752.0473,9487.5957,8768.0235,5294.1943,22513.3209,6028.5249,12394.9668,10196.9925,7964.9729,
12/29/2017,489248.7211,371052.4532,307911.7157,298754.9421,196740.1887,86200.6828,88915.5367,49700.0111,67836.7609,99815.7058,68653.338,43197,94860.4605,41279.447,83179.3314,41537.9421,53559.9993,33486.2934,32755.712,68865.4084,48270.8256,39225.1547,34510.6736,55153.8439,37124.1086,53204.2511,48751.52,37695.6,28208.271,30746.987,25425.5921,27951.238,19896.9569,36197.3683,20076.1275,25736.6226,30215.8605,22717.0965,21407.3357,11397.3114,25069.699,12300.461,21690.811,11440.9607,13917.1097,20653.7991,20044.3074,15738.5783,20374.5309,7573.0774,16841.6489,14135.7103,16821.4182,12771.1646,12329.2002,9087.0796,12894.9672,15097.5644,10472.1821,13284.4805,10152.9761,5426.3725,24000.8346,6474.905,14874.6495,12316.7122,11408.1881,
12/31/2018,502599.5675,324626.595,241821.8107,216909.8113,127137.6425,81428.2538,73855.446,67301.9649,59526.7899,64577.38,53945.1968,42637.946,68204.1457,42906.7594,62332.1457,40170.7207,34863.9962,35009.1004,35184.456,56084.3048,35803.6949,33383.2475,34683.887,46541.7334,31709.8,40519.5786,33680.15,28461.2648,26831.664,22661.9462,22217.2417,19815.1964,19732.4708,23937.3159,15945.7627,20089.397,16861.4527,18506.438,15426.6355,12978.6834,14544.6238,12599.1531,15290.3596,13535.1524,14308.1919,13911.0254,13833.1838,12653.4288,12502.2514,7943.6921,14301.9583,10976.7133,10960.0584,13373.9746,10113.4022,8851.508,10661.8265,11107.0572,8313.1062,11156.01,7828.9651,5550.1039,15193.6167,5446.5845,6885.7628,6426.8162,5132.4459,
