Date,MSFT ,AAPL ,V ,MA ,INTC ,CSCO ,ADBE ,CRM ,IBM ,ORCL ,TXN ,PYPL ,ACN ,NVDA ,AVGO ,QCOM ,FIS ,ADP ,INTU ,FISV ,MU ,GPN ,AMAT ,ADI ,LRCX ,CTSH ,AMD ,ADSK ,TEL ,APH ,MSI ,PAYX ,KLAC ,FLT ,HPQ ,XLNX ,MCHP ,GLW ,SNPS ,HPE ,VRSN ,ANSS ,CDNS ,KEYS ,CDW ,WDC ,MXIM ,AKAM ,SWKS ,BR ,SYMC ,IT ,ANET ,STX ,NTAP ,CTXS ,FTNT ,LDOS ,JKHY ,WU ,QRVO ,JNPR ,FFIV ,DXC ,SSIXX ,FLIR ,XRX ,ADS ,IPGP 
12/31/2007,333053.6098,173427.0193,#N/A,28351.403,155881.02,164232.046,24517.9571,7403.6889,148956.9571,115639.1811,46700.1067,#N/A,28328.6711,18900.5415,#N/A,64395.761,8066.9877,23431.2136,10517.1751,9135.6687,5512.9935,3670.7816,24542.0285,9616.3277,5382.1089,9854.8459,4526.7883,11489.5837,18350.426,8266.3893,36640.5096,13172.2329,8772.2041,#N/A,129928.8896,6429.6792,6731.443,37804.2602,3809.0808,#N/A,8310.0574,3245.5757,4572.4902,#N/A,#N/A,6649.2212,8491.8793,5749.2987,1374.2426,3127.1995,13997.8632,1832.3333,#N/A,13566.7657,8591,7210.6906,#N/A,8316.3366,2178.8536,18232.2749,#N/A,17317.1192,2421.348,#N/A,#N/A,4249.8734,14966.4603,5904.7725,875.1202
12/31/2008,172929.9248,75870.6125,40642.9709,18471.689,81538.92,95437.9167,11304.0557,3905.22,113065.4259,89468.7139,20120.5149,#N/A,24381.0336,4334.0993,#N/A,59315.5547,3091.2235,19979.9562,7614.2491,5824.7135,2016.324,2629.6038,13461.4654,5538.5006,2658.9168,5258.8446,1314.3317,4446.5789,7418.1225,4215.2139,10039.9028,9482.3257,3679.4421,#N/A,87683.9494,4880.9604,3552.3272,14812.7401,2629.4028,#N/A,3702.2088,2501.7359,937.9808,#N/A,#N/A,2536.8884,3609.8767,2552.128,918.3331,1773.1333,11302.9015,1677.1933,#N/A,2163.258,4612.3745,4281.5281,#N/A,7885.6872,1640.4304,10261.3273,#N/A,9244.4218,1820.8402,#N/A,,4262.081,6898.8318,3003.0555,591.1849
12/31/2009,270635.6109,189617.8086,64950.2267,33214.2669,112648.8,137716.8957,19263.8954,9213.8731,171950.6203,122925.2319,32649.8811,#N/A,30338.9729,10365.5325,4305.3361,77268.6845,8730.8957,21608.2869,9734.0623,7460.9748,8974.1392,4364.7442,18697.1509,9216.9952,4989.4881,13359.3588,6488.5003,5837.1724,11265.2314,7919.7361,17932.9224,11073.5043,6179.4547,#N/A,121778.3424,6938.1043,5333.339,30048.1656,3283.0962,#N/A,4662.4502,3854.9194,1609.928,#N/A,#N/A,9950.699,6202.3427,4340.2201,2474.4352,3087.6404,14500.9271,1872.0739,#N/A,9057.7141,11644.8104,7613.7894,1164.3463,7498.5962,1959.7498,13046.2491,#N/A,14013.4588,4199.0271,#N/A,,4967.8348,7353.8101,3375.8286,764.3636
12/31/2010,238784.6591,295886.5875,51417.4951,29331.7851,117305.34,112130.0696,15658.3002,17344.7992,182328.9127,158140.7436,38160.1178,#N/A,34566.319,8947.4,6864.1532,80060.6291,8243.3134,22825.8474,15313.1129,8709.0665,7989.8907,3681.814,18653.9768,11250.2591,6367.837,22242.2245,5576.8173,8686.4851,15706.5202,9216.0004,21308.8866,11179.6371,6455.3722,2433.9946,92216.9151,7509.1904,6391.2628,30194.8205,4017.6631,#N/A,5618.8382,4738.2866,2207.1669,#N/A,#N/A,7790.203,6992.9537,8579.1866,5247.5069,2741.7983,12994.5006,3191.1076,#N/A,7104.4601,19863.8083,12845.6466,2384.1206,5897.0111,2495.9249,12179.4537,#N/A,19316.6188,10523.4487,#N/A,,4718.2013,15980.5125,3693.2403,1478.4058
12/30/2011,218380.2607,376410.6436,70226.3901,47833.7003,123481,97195.617,13877.6272,13798.56,216724.308,128912.7168,33262.5387,#N/A,37574.7384,8463.6559,7053.5833,91949.8453,7962.939,26394.5789,15632.3037,8274.0573,6211.8361,3710.6028,13983.3732,10661.0336,4425.7448,19429.1249,3763.3827,6878.8441,13077.3415,7522.9021,15069.0662,10912.4666,8041.5572,2428.9628,51108.7016,8414.5221,7001.1429,20399.0967,3922.2399,#N/A,5681.8662,5291.5494,2832.2706,#N/A,#N/A,7235.813,7596.2219,5792.0391,3047.5726,2798.7865,11536.5975,3299.4749,#N/A,7623.4205,13006.6392,11324.1466,3359.3354,4193.4427,2909.9133,11305.4521,#N/A,10735.8232,8434.8527,#N/A,,3910.7042,11040.9446,5188.7289,1610.217
12/31/2012,224801.0937,500610.8338,102732.3325,61046.8959,102605.12,104323.4154,18653.6572,23870.2,216438.5694,157746.7719,34621.604,#N/A,46306.2263,7660.6712,7769.5621,105410.6057,10206.2297,27638.0296,17607.9109,10548.3476,6472.8908,3573.2324,13701.2266,12676.4294,6190.5901,22178.8646,1708.6748,7943.1449,15685.895,10374.1468,15618.2621,11311.58,7952.7848,4534.8253,27761.11,9356.9456,6342.1932,18650.3589,4803.9263,#N/A,6027.0615,6238.2229,3782.9121,#N/A,#N/A,10350.6408,8572.5961,7260.2079,3944.7265,2796.5125,13059.2375,4310.003,#N/A,11483.3736,12020.425,12252.2911,3361.9135,3869.9842,3379.2337,8119.4399,#N/A,10141.3605,7679.7463,#N/A,,3347.9334,8678.7697,7224.5375,3417.1588
12/31/2013,312297.5109,504770.9993,141755.9487,100570.6591,129022.305,119924.6345,29932.7534,33279.57,203673.7042,172070.8752,48062.2662,#N/A,55745.927,9107.94,13162.0806,125440.5984,15680.3215,38898.6896,21739.9784,15231.2562,22999.486,4737.0502,21289.9638,15841.5256,8842.2393,30546.1572,2800.668,11301.6477,22615.7192,14115.5055,17463.1016,16582.5879,10742.2212,9637.0358,53407.5832,12320.9604,8876.9856,25789.1379,6261.6913,#N/A,8192.9887,8079.9344,4034.1626,#N/A,4016.9252,19827.0796,7883.9578,8444.1351,5381.1248,4710.1157,16412.4226,6549.2139,#N/A,18316.1466,14021.261,11789.6153,3126.9931,3980.7999,5067.3568,9526.3378,#N/A,11397.9457,7051.5213,#N/A,,4263.8155,14982.6605,12808.0232,4010.9201
12/31/2014,382880.5004,647361.022,162177.789,99647.0602,175462.15,142234.4608,36258.3152,37424.61,158781.1244,197479.7824,56475.0756,#N/A,59453.3696,10897.9154,25683.7984,123581.1288,17649.3202,40189.0749,26319.9158,17314.2727,37581.6666,5460.3493,30439.0803,17278.0975,12611.9245,32065.6074,2070.1588,13664.8817,25722.2509,16652.3361,16147.6553,16766.5098,11566.0208,12466.6069,73601.7119,11448.2696,9065.5606,29392.778,6655.4019,#N/A,6902.1359,7536.4914,5552.8984,5667.8093,6056.6919,25707.8909,9016.6774,11206.4996,13862.4251,5542.3085,17705.7331,7412.8122,3914.491,21761.3863,12919.6708,10269.9318,5054.4832,3223.3903,5081.5379,9360.2509,#N/A,9654.9353,9626.1385,#N/A,,4552.2303,15821.9615,18313.027,3909.4888
12/31/2015,443169.418,586859.3468,170669.9008,109312.7621,162569.55,137840.928,46857.2107,52057.6,133506.553,153470.5744,55599.9244,44225.1803,68756.294,17732.48,40132.4601,75132.1533,17098.5319,39073.4261,25476.4211,20902.1492,14658.9965,8378.817,21454.321,17263.1962,12579.5313,36496.2922,2274.1818,13728.9405,24959.2247,16100.4857,12085.6467,19090.446,10814.8339,13172.6016,21215.4849,12070.116,9453.3132,21624.9566,6907.7652,26486.3062,9741.2658,8231.778,6190.8918,4840.1958,7116.2983,13914.5359,10800.3647,9364.9269,14686.1384,6371.6331,14186.0486,7515.0955,5274.1547,10962.508,7755.8902,11636.8195,5369.4705,4054.2882,6239.2679,9049.5828,7194.2633,10649.5217,6884.558,#N/A,,3936.7725,10761.8441,16909.0212,4705.9827
12/30/2016,483160.2854,617588.4903,181544.7947,112502.6958,171883.53,151697.1106,51189.5217,47696.0828,157832.3473,157735.4739,72932.4728,47626.3126,76243.0297,57532.86,70527.7613,96293.0141,24827.1564,46371.5833,29416.7928,23068.8527,22886.5939,10668.1357,34740.92,22379.3463,17216.0113,33993.6582,10510.6912,16471.3955,24618.1643,20729.748,13756.7121,21846.3722,12299.1573,13131.8871,25308.8936,15244.1085,13857.4366,23086.2346,8834.9564,38523.8686,7954.9794,8002.895,7230.9522,6269.759,8360.7955,19397.952,10926.0472,11555.6381,13872.8672,7894.8448,14893.4859,8349.3812,6794.1493,11241.934,9712.5688,13929.3251,5211.9499,7689.6024,6933.9068,10531.0542,6735.0816,10747.9322,9452.5329,#N/A,,4926.5416,8850.2693,13197.9766,5242.2257
