Date,BRK/B ,JPM ,BAC ,WFC ,C ,AXP ,USB ,CME ,CB ,GS ,PNC ,SPGI ,MS ,ICE ,BLK ,MMC ,AIG ,AON ,PGR ,SCHW ,COF ,BBT ,AFL ,BK ,TRV ,MET ,PRU ,ALL ,MCO ,STI ,TROW ,DFS ,WLTW ,STT ,HIG ,MTB ,SYF ,NTRS ,FITB ,MSCI ,AMP ,CINF ,KEY ,AJG ,FRC ,CFG ,RF ,HBAN ,PFG ,MKTX ,L ,CBOE ,LNC ,NDAQ ,SIVB ,RE ,RJF ,CMA ,GL ,ETFC ,ZION ,AIZ ,BEN ,PBCT ,IVZ ,UNM ,AMG ,SSIXX 
1/1/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/2007,72.86,35.0145,42.2129,25.2949,464.332,49.0104,25.9003,81.466,45.312,170.937,54.5179,52.684,54.6165,21.459,113.524,22.4234,1044.0359,30.193,19.2913,16.9913,63.1288,28.3419,17.0216,32.6749,39.073,38.8363,60.387,47.6144,59.2384,63.6881,33.9207,#N/A,76.7438,55.2751,70.7427,84.534,#N/A,46.8447,29.3981,#N/A,41.78,27.6633,27.5613,18.3327,#N/A,#N/A,27.6064,16.4163,42.0495,12.053,38.1071,#N/A,53.2491,27.0708,46.99,75.0747,25.348,43.7139,25.2169,226.3099,71.1342,43.6421,31.5911,12.5188,15.8506,16.2501,103.4548,0.9401
1/4/2007,72.2,35.1019,42.482,25.3374,462.7352,48.6532,25.9218,82.058,44.719,169.344,54.3801,52.441,54.8105,22.44,114.747,22.6888,1034.7749,30.534,19.3072,16.8624,63.0552,28.1229,16.8339,32.609,38.745,39.0688,60.142,47.6727,58.8087,63.1241,34.2173,#N/A,76.9342,55.6809,70.268,84.444,#N/A,46.4321,29.4052,#N/A,42.053,27.5304,27.3584,18.2584,#N/A,#N/A,27.4757,16.4026,41.9715,11.981,37.6542,#N/A,52.8167,27.839,47.33,74.8251,25.249,43.736,25.2325,230.0636,71.4516,44.072,31.7304,12.4684,15.7084,16.3361,102.3312,0.9401
1/5/2007,71.56,34.8105,42.1417,25.1958,460.298,48.0117,25.6139,82.442,44.396,169.515,53.7562,52.464,54.1079,23.098,114.717,22.4808,1029.9997,30.355,18.9247,16.5098,63.0552,27.7493,16.856,32.4526,38.241,38.6103,59.995,47.5414,57.941,62.297,34.1506,#N/A,76.1344,55.5104,69.0774,82.97,#N/A,45.8208,28.8242,#N/A,41.992,27.3372,27.0468,18.017,#N/A,#N/A,27.0037,16.2523,41.5178,11.605,37.3123,#N/A,52.1841,28.8953,46.5,73.8418,24.9437,43.2485,24.8139,228.088,71.2371,43.7672,31.1425,12.3311,15.4172,16.1172,101.5104,0.9401
1/8/2007,71.72,34.9271,42.3079,25.125,462.6512,48.4664,25.5279,83.319,44.418,173.5,54.3655,52.299,54.4358,23.308,116.832,22.2656,1035.0643,30.202,19.0522,16.7162,63.2759,27.6398,16.8671,32.5843,37.957,38.6103,60.366,47.6071,57.9242,61.9737,34.7734,#N/A,75.6202,56.0947,69.424,83.555,#N/A,46.2411,28.6376,#N/A,42.514,27.3855,27.2642,17.689,#N/A,#N/A,26.8294,16.2181,41.5958,11.659,37.3123,#N/A,52.2446,29.7159,46.33,73.5695,25.084,43.182,24.6222,232.2368,71.3573,43.8063,32.0258,12.3563,15.5594,16.1407,102.849,0.9401
1/9/2007,73,34.7814,42.3475,25.1887,458.6172,48.1579,25.5136,83.801,43.96,173.798,54.4889,52.519,54.3086,23.115,117.572,22.3301,1031.5914,30.031,18.7255,16.9827,62.6221,27.5883,16.9296,32.4443,37.862,38.1584,60.128,47.3591,57.4524,61.9962,34.9142,#N/A,74.8395,55.8756,68.5198,83.349,#N/A,46.6231,28.695,#N/A,42.772,27.2044,27.4019,17.6952,#N/A,#N/A,26.9093,16.2044,41.5533,11.534,38.0702,#N/A,52.6152,29.5325,46.48,73.4257,25.4388,43.0934,24.6692,230.3599,71.7519,43.5405,32.5914,12.2695,15.7219,16.0234,103.8457,0.9401
1/10/2007,73.02,35.0363,42.4108,25.1109,454.9193,48.1254,25.4993,86.196,43.953,177.23,54.7885,53.218,54.7652,25.08,120.682,22.366,1032.8937,30.014,18.6777,17.1719,61.8621,27.7314,17.132,32.6172,37.614,38.7459,60.8701,47.2351,58.059,62.3196,35.1144,#N/A,73.9825,56.3463,68.4444,84.534,#N/A,46.8447,28.6233,#N/A,42.946,27.1803,27.2497,17.72,#N/A,#N/A,26.9892,16.1019,41.8226,11.516,38.292,#N/A,52.8488,30.7983,46.41,73.5619,25.6946,43.0343,24.9117,233.0271,72.1723,43.3686,32.9313,12.3731,15.5391,15.8984,104.3244,0.9401
1/11/2007,73.4,35.1893,42.1575,25.1533,455.2555,48.2715,25.4277,86.71,44.493,180.441,54.7958,54.357,55.3023,25.32,122.965,22.3875,1031.5914,30.031,18.4865,17.4385,62.0991,27.9591,17.6473,32.9301,37.358,39.779,61.4583,46.761,58.7919,62.1917,35.804,#N/A,74.3253,57.3689,68.3992,83.666,#N/A,47.0128,28.6448,#N/A,43.74,27.2406,27.2787,17.8252,#N/A,#N/A,27.0763,16.1087,42.6024,11.57,38.8188,#N/A,53.316,30.2222,47.05,74.515,26.1072,42.7684,25.299,238.1637,71.649,44.197,33.4691,12.4908,15.8776,16.0078,105.2234,0.9401
1/12/2007,73.36,34.9562,42.2525,25.1321,457.0204,47.9143,25.4563,89.41,44.148,182.238,54.6862,53.312,55.6313,24.984,126.244,22.4951,1028.4079,30.406,18.6458,17.4987,62.9408,27.7249,17.8092,33.2017,37.256,39.8565,61.3882,47.1184,58.4381,62.3045,36.0042,#N/A,76.1915,57.7422,68.776,82.901,#N/A,47.0433,28.7166,#N/A,43.869,27.3855,27.2424,17.8437,#N/A,#N/A,26.9093,16.0677,42.7938,11.588,39.0591,#N/A,53.0905,29.9341,47.56,75.0369,26.1567,42.8792,25.3499,247.1529,71.4259,44.4784,33.4133,12.488,15.9657,15.9922,106.5034,0.9401
