Date,SPXT Index ,XLB ,XLE ,XLF ,XLI ,XLK ,XLP ,XLRE ,XLU ,XLV ,XLY 
1/1/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/2007,2183.92,26.0833,42.8242,23.1963,27.0279,19.1881,18.7192,#N/A,23.1541,26.8462,31.9169
1/4/2007,2186.6,25.9628,42.0446,23.1209,26.9128,19.4842,18.7498,#N/A,23.1226,27.1508,31.9086
1/5/2007,2173.29,25.7894,42.3247,22.9262,26.8208,19.3279,18.6145,#N/A,22.7076,26.9985,31.6931
1/8/2007,2178.8,25.7894,42.3247,23.0393,26.9205,19.3855,18.643,#N/A,22.695,27.0306,31.7429
1/9/2007,2177.68,25.797,41.9614,23.0016,26.9051,19.4101,18.6857,#N/A,22.7139,26.9985,31.9169
1/10/2007,2182.16,25.9778,41.1515,23.077,26.9972,19.5088,18.764,#N/A,22.7202,27.0466,32.0826
1/11/2007,2196.02,26.2567,40.9169,23.2215,27.2197,19.7062,18.9065,#N/A,22.7453,27.3431,32.4389
1/12/2007,2206.68,26.5506,41.9614,23.2466,27.2964,19.7556,18.878,#N/A,22.5567,27.4713,32.53
1/15/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/16/2007,2208.48,26.6184,41.5299,23.3094,27.4422,19.7145,18.8922,#N/A,22.6258,27.5354,32.646
1/17/2007,2206.7,26.7089,41.9916,23.2466,27.4652,19.4595,18.9492,#N/A,22.6761,27.6957,32.646
1/18/2007,2200.2,26.5506,41.6813,23.1524,27.3424,19.2374,18.9207,#N/A,22.6636,27.7758,32.8283
1/19/2007,2206.6,26.9576,42.8242,23.2215,27.3271,19.2292,18.9492,#N/A,22.6699,27.7839,32.82
1/22/2007,2195,26.6787,42.529,23.2026,27.0279,19.0894,18.9278,#N/A,22.6636,27.6156,32.6129
1/23/2007,2202.77,27.0178,43.6341,23.1901,27.3424,19.0894,18.9634,#N/A,22.7956,27.4713,32.7289
1/24/2007,2221.56,27.2967,43.8233,23.4288,27.2657,19.4348,19.0346,#N/A,22.8711,27.6797,32.8532
1/25/2007,2196.54,27.2063,42.9226,23.0895,27.12,19.1963,18.9136,#N/A,22.8522,27.5835,32.3311
1/26/2007,2193.89,27.1912,43.0286,23.1335,27.0126,19.2045,18.8637,#N/A,22.7956,27.4312,32.1737
1/29/2007,2191.71,27.0857,42.8242,23.0204,27.0739,19.2868,18.9136,#N/A,22.8711,27.3912,32.2566
1/30/2007,2204.4,27.161,43.687,23.1084,27.0586,19.4019,18.8993,#N/A,22.9403,27.5274,32.3477
1/31/2007,2219.19,27.3193,43.9671,23.2969,27.4192,19.5171,18.9777,#N/A,23.0094,27.6556,32.6957
2/1/2007,2231.61,27.6509,44.126,23.4476,27.657,19.4348,19.0489,#N/A,23.2044,27.888,32.8117
2/2/2007,2235.39,27.6057,44.3758,23.4916,27.7644,19.5335,19.0845,#N/A,23.3301,27.8319,32.9029
2/5/2007,2233.44,27.4926,44.3304,23.4853,27.8181,19.4842,19.0204,#N/A,23.5817,27.8239,32.7952
2/6/2007,2235.02,27.681,44.1942,23.5922,27.8258,19.4595,18.9919,#N/A,23.7075,27.7438,32.9112
2/7/2007,2239.05,27.681,43.9292,23.6801,27.8028,19.55,18.9492,#N/A,23.7955,27.7839,33.0686
2/8/2007,2236.46,27.7112,44.3758,23.6047,27.611,19.5746,18.9136,#N/A,23.8395,27.7598,33.0023
2/9/2007,2220.72,27.5831,44.1942,23.3534,27.5035,19.3608,18.8851,#N/A,23.9213,27.6797,32.6957
2/12/2007,2213.58,27.6961,43.5811,23.2969,27.5496,19.2786,18.8424,#N/A,23.8332,27.5595,32.5383
2/13/2007,2230.8,28.2538,44.2169,23.4665,27.7721,19.3608,18.9065,#N/A,24.0407,27.6636,32.8283
2/14/2007,2248.4,28.4271,44.2244,23.6927,28.1787,19.624,19.0204,#N/A,24.2105,27.8159,32.994
2/15/2007,2250.97,28.5628,43.8914,23.7304,28.24,19.698,19.1343,#N/A,24.003,27.9441,33.1017
2/16/2007,2249.06,28.4196,43.899,23.7241,28.125,19.6569,19.1628,#N/A,24.047,27.8319,33.0603
2/19/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/20/2007,2255.48,28.6532,43.407,23.8498,28.171,19.6651,19.2625,#N/A,24.1099,27.848,33.3006
2/21/2007,2252.43,28.8341,43.8838,23.7492,28.2477,19.6322,19.1557,#N/A,24.0093,27.7197,33.168
2/22/2007,2251.03,28.8266,44.2774,23.655,28.1557,19.7391,19.0845,#N/A,24.0407,27.6797,33.0934
2/23/2007,2243.26,28.9396,44.3909,23.4351,28.0789,19.7227,19.0987,#N/A,24.3174,27.5595,33.0189
2/26/2007,2240.73,29.2034,44.6559,23.2654,27.9178,19.6733,19.0916,#N/A,24.896,27.6717,32.7372
2/27/2007,2163.11,28.0202,42.8772,22.1785,27.0816,18.9167,18.6572,#N/A,23.9904,26.8302,31.6103
2/28/2007,2175.78,28.2237,43.0664,22.5869,27.1737,18.9578,18.7284,#N/A,24.1791,26.9905,31.6766
3/1/2007,2170.17,27.9297,42.9302,22.5618,27.0663,18.9742,18.7284,#N/A,24.3049,26.8943,31.5357
3/2/2007,2145.43,27.47,42.4231,22.3042,26.7287,18.6206,18.4365,#N/A,23.9276,26.6539,31.3037
3/5/2007,2125.34,27.1083,41.9311,21.9523,26.6596,18.6617,18.3724,#N/A,23.6257,26.5177,30.8894
3/6/2007,2158.36,27.6584,42.7258,22.411,26.9665,18.9496,18.5148,#N/A,23.9779,26.7982,31.4197
3/7/2007,2153.65,27.5228,43.2556,22.279,26.8591,18.7111,18.4436,#N/A,23.9276,26.8062,31.3866
3/8/2007,2169.14,27.7941,43.6341,22.4801,27.0586,18.8673,18.6145,#N/A,24.0533,26.8943,31.6351
3/9/2007,2170.62,28.1182,43.4448,22.5366,27.1967,18.9167,18.6715,#N/A,24.0219,26.9504,31.7014
3/12/2007,2176.5,28.2086,43.3843,22.5366,27.3271,19.0318,18.6928,#N/A,24.2923,26.9504,31.66
3/13/2007,2132.76,27.5228,42.8015,21.8644,26.8668,18.7275,18.3368,#N/A,23.9338,26.5097,31.08
3/14/2007,2147.18,27.6961,43.2935,21.9146,26.9742,18.9002,18.3724,#N/A,24.0533,26.6138,31.022
3/15/2007,2155.18,28.2237,43.2859,22.1785,27.0049,18.9084,18.6074,#N/A,24.3615,26.6779,31.0883
3/16/2007,2146.93,27.9955,42.8204,22.0953,27.1014,18.8755,18.5566,#N/A,24.2783,26.7056,30.979
3/19/2007,2170.33,28.4105,43.5038,22.2404,27.2936,18.9989,18.6782,#N/A,24.4553,26.9147,31.4355
3/20/2007,2184.1,28.5313,43.8151,22.4423,27.3628,19.1223,18.8571,#N/A,24.8094,27.0515,31.668
3/21/2007,2221.46,28.8557,44.6048,22.9533,27.7395,19.5088,19.0361,#N/A,25.1002,27.325,32.166
3/22/2007,2220.68,28.7199,45.5009,22.8145,27.7933,19.4348,19.1291,#N/A,25.0749,27.4215,32.0747
3/23/2007,2223.12,28.8407,45.7287,22.8398,27.9548,19.3855,19.172,#N/A,25.195,27.2848,32.0913
3/26/2007,2225.26,29.0444,46.0476,22.7262,27.7241,19.4101,19.0361,#N/A,25.3025,27.325,31.9336
3/27/2007,2211.52,28.7275,46.1312,22.5874,27.5934,19.4184,18.9502,#N/A,25.2646,27.1319,31.7344
3/28/2007,2194.38,28.4407,46.1236,22.3035,27.3705,19.1963,18.9144,#N/A,25.214,26.9469,31.3774
3/29/2007,2202.68,28.6596,46.4121,22.417,27.3628,19.221,19.0217,#N/A,25.3594,27.0756,31.4853
3/30/2007,2200.12,28.7124,45.7743,22.4801,27.332,19.1799,19.0718,#N/A,25.1002,27.0676,31.5684
4/2/2007,2205.85,28.7048,46.2223,22.2719,27.3781,19.2786,19.1219,#N/A,25.7008,27.2124,31.6763
4/3/2007,2226.76,29.0142,46.5108,22.5495,27.5704,19.4348,19.2507,#N/A,25.7324,27.4939,32.083
4/4/2007,2229.26,29.0595,46.5868,22.5495,27.4627,19.55,19.3366,#N/A,25.6186,27.6548,31.9917
4/5/2007,2236.71,29.0218,46.8905,22.5622,27.5473,19.624,19.3867,#N/A,25.7324,27.8478,32.249
4/6/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/2007,2238.03,29.467,46.7159,22.5558,27.5165,19.624,19.3366,#N/A,25.9221,27.8559,32.2241
4/10/2007,2243.93,29.1425,47.4221,22.6568,27.5089,19.6075,19.4297,#N/A,25.9284,27.8961,32.2905
4/11/2007,2229.44,29.0142,47.1335,22.4675,27.4012,19.4266,19.3008,#N/A,25.8652,27.7754,32.0415
4/12/2007,2243.3,29.2708,47.8549,22.4297,27.7318,19.6322,19.3223,#N/A,25.7514,28.0891,32.2656
4/13/2007,2251.12,29.3387,47.8777,22.5243,27.7241,19.6487,19.3867,#N/A,25.7451,28.4994,32.2905
4/16/2007,2275.35,29.7311,48.1587,23.0732,27.9471,19.8132,19.4297,#N/A,25.8968,28.7729,32.6143
4/17/2007,2280.01,29.4519,47.8853,23.0669,27.9471,19.8543,19.6086,#N/A,26.017,28.8614,32.7471
4/18/2007,2281.61,29.2934,47.7182,23.3319,28.024,19.8049,19.5585,#N/A,26.2066,28.8533,32.7222
4/19/2007,2278.91,29.1878,47.05,23.3003,28.1162,19.8132,19.5728,#N/A,26.0802,28.974,32.4649
4/20/2007,2300.08,29.4896,47.9157,23.4202,28.3084,19.9283,19.7517,#N/A,26.2825,29.0866,32.8467
4/23/2007,2294.82,29.4821,47.9688,23.3571,28.4161,19.8872,19.7088,#N/A,26.4785,29.1188,32.7803
4/24/2007,2294.02,29.3613,47.8245,23.2877,28.3315,19.9941,19.7016,#N/A,26.6682,29.1188,32.6641
4/25/2007,2317.5,29.8292,48.7206,23.6032,28.6237,20.1421,19.8018,#N/A,26.744,29.2072,32.9961
4/26/2007,2315.91,29.7084,48.7054,23.5653,28.6083,20.2573,19.7231,#N/A,26.6555,29.2394,32.9463
4/27/2007,2315.7,29.6858,48.6978,23.5338,28.9389,20.2408,19.6801,#N/A,26.4342,29.1429,32.7305
4/30/2007,2297.57,29.1425,48.1207,23.3508,28.6006,20.0846,19.6086,#N/A,26.3331,29.0464,32.3154
5/1/2007,2303.68,29.0218,48.3333,23.395,28.7774,20.1833,19.5298,#N/A,26.548,29.1107,32.4067
5/2/2007,2318.84,29.3689,48.7358,23.4959,28.9619,20.2902,19.537,#N/A,26.6935,29.2957,32.7803
5/3/2007,2329.54,29.467,49.1306,23.7168,29.1695,20.4876,19.6086,#N/A,26.6619,29.3601,32.7139
5/4/2007,2334.61,29.7311,49.0927,23.7988,29.2003,20.5698,19.6086,#N/A,26.6113,29.5209,32.7886
5/7/2007,2340.68,30.1235,49.2218,23.8303,29.2772,20.5451,19.6443,#N/A,26.9274,29.5853,32.7886
5/8/2007,2338.14,30.1461,49.2294,23.7799,29.2618,20.6274,19.5084,#N/A,26.8073,29.4727,32.6475
5/9/2007,2346.3,30.2744,49.2066,23.906,29.3387,20.6027,19.537,#N/A,26.8262,29.5692,32.8467
5/10/2007,2313.94,29.6933,48.4092,23.5653,29.1388,20.4958,19.4153,#N/A,26.5544,29.0464,32.4898
5/11/2007,2336.48,30.0405,49.5179,23.8177,29.3617,20.7179,19.4654,#N/A,26.6808,29.159,32.6226
5/14/2007,2332.43,30.0027,49.5331,23.7041,29.231,20.6192,19.3939,#N/A,26.7883,29.1268,32.6226
5/15/2007,2329.61,30.1914,49.7002,23.6474,29.3079,20.5863,19.5227,#N/A,26.9337,29.0946,32.5064
5/16/2007,2350.4,30.297,49.89,23.9187,29.454,20.7672,19.7231,#N/A,26.9969,29.4244,32.6226
5/17/2007,2348.44,30.2819,50.6873,23.7988,29.5078,20.7096,19.673,#N/A,26.9337,29.3118,32.6724
5/18/2007,2363.97,30.3951,51.5074,23.8619,29.4079,20.8166,19.8161,#N/A,27.0791,29.4325,32.9712
5/21/2007,2367.63,30.4404,51.9403,23.8871,29.577,20.907,19.6658,#N/A,27.0412,29.4968,33.0957
5/22/2007,2366.1,30.2593,51.4543,23.906,29.5155,20.8824,19.7016,#N/A,26.9906,29.4807,33.0625
5/23/2007,2363.29,30.3951,51.5606,23.8871,29.6616,20.8083,19.6443,#N/A,26.567,29.5853,33.0791
5/24/2007,2340.64,30.0706,50.619,23.6726,29.4232,20.5451,19.5585,#N/A,25.9727,29.4727,32.8135
5/25/2007,2353.42,30.4253,51.4087,23.7168,29.6001,20.7179,19.6801,#N/A,25.9853,29.4566,32.9297
5/28/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/29/2007,2357.39,30.3272,51.067,23.8177,29.7923,20.8412,19.7517,#N/A,26.0612,29.4727,32.9048
5/30/2007,2377.09,30.7121,52.1377,23.9818,29.923,20.9975,19.8447,#N/A,26.3837,29.4807,33.2036
5/31/2007,2377.75,30.863,51.8643,23.9124,30.0844,21.0962,19.8734,#N/A,26.4532,29.5451,33.2866
6/1/2007,2386.63,31.2931,52.3351,23.9881,30.1998,21.0962,19.9664,#N/A,26.3078,29.5773,33.4776
6/4/2007,2391.13,31.1044,53.1553,23.9565,30.2075,21.1702,20.038,#N/A,26.2066,29.5209,33.544
6/5/2007,2378.44,30.9988,52.9654,23.8114,30.1152,21.0962,19.9163,#N/A,25.8589,29.4486,33.3447
6/6/2007,2357.95,30.5989,52.2896,23.6095,29.7923,20.8495,19.7875,#N/A,25.4479,29.1751,32.9214
6/7/2007,2316.63,29.9122,51.3632,23.212,29.3079,20.5534,19.537,#N/A,24.6576,28.7407,32.3071
