Date,BRK/B ,JPM ,BAC ,WFC ,C ,AXP ,USB ,CME ,CB ,GS ,PNC ,SPGI ,MS ,ICE ,BLK ,MMC ,AIG ,AON ,PGR ,SCHW ,COF ,BBT ,AFL ,BK ,TRV ,MET ,PRU ,ALL ,MCO ,STI ,TROW ,DFS ,WLTW ,STT ,HIG ,MTB ,SYF ,NTRS ,FITB ,MSCI ,AMP ,CINF ,KEY ,AJG ,FRC ,CFG ,RF ,HBAN ,PFG ,MKTX ,L ,CBOE ,LNC ,NDAQ ,SIVB ,RE ,RJF ,CMA ,GL ,ETFC ,ZION ,AIZ ,BEN ,PBCT ,IVZ ,UNM ,AMG ,SSIXX 
12/31/2007,38,2.0833,6.75,0.5833,0.0833,7,1.0833,4,3.667,1.5,6.8333,9.75,2.5,7.667,20,1.3333,2.8333,2.75,7,3.5,13.5,10.6667,18,0.5,3.75,1.8333,8,1,2.75,1,1,3.9167,7.25,3.5833,10.6667,1,#N/A,12.5833,0.75,9.9167,2.333,8.75,6.9167,13,#N/A,#N/A,1.1667,6.9167,6.75,7.75,7,#N/A,0.5,4.6667,6.75,7.9167,11.75,6,2.4167,0.1667,#N/A,1.75,3.75,0.1667,2.4167,4.8333,3,#N/A
12/31/2008,39,3.0833,7.75,1.5833,1.0833,8,2.0833,5,4.667,2.5,8.6667,10.75,3.5,8.667,21,1,0.3333,0.917,8,0.25,14.5,11.6667,19,1.5,4.75,2.8333,1,2,3.75,2,2,4.9167,8.25,1,11.6667,2,#N/A,1,1.75,10.9167,3.333,0.5,7.9167,14,#N/A,#N/A,2.1667,1,0.6667,8.75,8,12,1.5,0.9167,7.75,8.9167,12.75,7,3.4167,0.75,#N/A,2.8333,4.75,0.4167,3.4167,5.8333,4,
12/31/2009,40,4.0833,0.75,2.5833,2.0833,9,3.0833,6,5.667,3.583,9.6667,11.75,4.5833,9.667,22,2,0.4167,1.167,9,1.25,15.5,1,20,2.5,5.75,3.8333,2,3,4.75,3,3,5.9167,9.25,5.5833,0.25,3,#N/A,2,2.75,11.9167,4.333,1.5,8.9167,15,12.3333,#N/A,3.1667,1,1.6667,9.75,9,13,0.9167,6.6667,8.75,9.9167,13.75,8,4.4167,1.8333,#N/A,2.5,5.75,1.4167,4.4167,6.8333,5,
12/31/2010,41,5.0833,1,3.5833,2,10,4.0833,7,6.667,4.583,10.6667,12.75,1,10.667,23,3,1.4167,2.167,10,2.25,16.5,2,21,3.5,6.75,4.8333,3,4,5.75,4,4,6.9167,0.3333,0.8333,1.25,4,#N/A,3,3.75,12.9167,5.333,2.5,9.9167,16,13.3333,#N/A,0.75,2,2.6667,10.75,10,14,1.9167,7.6667,9.75,10.9167,0.4167,9,5.4167,0.8333,#N/A,4.8333,6.75,0.75,5.4167,7.8333,6,
12/30/2011,42,6.0833,2,4.5833,3,11,5.0833,8,7.667,5.583,11.6667,13.75,2,11.667,24,4,0.8333,6.75,11,3.25,17.5,3,22,0.4167,7.75,0.6667,4,5,6.75,0.1667,5,7.9167,1.1667,1.8333,2.25,5,#N/A,4,4.75,14,6.333,0.6667,0.6667,17,14.3333,#N/A,1.75,3,3.6667,11.75,11,15,2.9167,8.6667,0.75,11.9167,1.4167,10,0.0833,1.8333,#N/A,5.8333,7.75,1.75,6.4167,8.8333,7,
12/31/2012,43,7.0833,3,5.5833,0.25,12,6.0833,0.667,8.667,6.583,12.6667,14.75,3,12.667,25,5,3.4167,4.917,12,4.25,18.5,4,23,1.4167,8.75,1.6667,5,6,7.75,1.1667,6,8.9167,1.0833,2.8333,3.25,6,#N/A,5,5.75,15,7.333,1.6667,1.6667,18,15.3333,#N/A,2.75,4,4.6667,12.75,12,16,3.9167,9.6667,1.75,12.9167,2.4167,11,0.5833,0.4167,#N/A,2,8.75,2.75,7.4167,9.8333,8,
12/31/2013,44,8.0833,4,6.5833,1.25,13,7.0833,1.667,9.667,7.583,0.75,0.167,4,13.667,26,1,4.4167,5.917,13,5.25,19.5,5,24,2.4167,9.75,2.6667,6,7,8.75,2.1667,7,10,0.6667,3.8333,4.25,7,#N/A,6,6.75,16,8.333,2.6667,2.6667,19,16.3333,0.25,3.75,5,5.6667,13.75,15,0.6667,6.5,10.6667,2.75,13.9167,3.4167,12,1.5833,1,#N/A,7.8333,9.75,3.75,8.4167,10.8333,9,
12/31/2014,45,9.0833,5,7.5833,2.25,14,8.0833,2.667,10.667,8.583,1.75,1.167,5,14.667,27,2,0.3333,6.917,14,6.25,20.5,6,25,3.4167,10.75,3.6667,1.5833,8,9.75,3.1667,8,11,1.6667,4.8333,0.5,8,0.9167,7,7.75,17,9.333,3.6667,3.6667,20,17.3333,1.25,4.75,6,6.6667,14.75,16,1.6667,7.5,11.6667,3.75,1,4.4167,13,2.5833,2,#N/A,8.8333,10.75,4.75,0.3333,11.8333,10,
12/31/2015,46,10.0833,6,8.5833,3.25,15,9.0833,3.667,11.667,9.583,2.75,2.167,6,15.667,28,3,1.3333,7.917,15,7.25,21.5,7,26,4.4167,0.083,4.6667,8,9,10.75,4.1667,9,12,3.25,5.8333,1.5,9,1.9167,8,0.1667,18,10.333,4.6667,4.6667,21,18.3333,2.25,5.75,7,0.4167,15.75,17,2.6667,8.5,12.6667,4.75,2,5.4167,14,3.5833,3,#N/A,1,11.75,5.75,1.3333,0.6667,11,
12/30/2016,47,11.0833,7,0.25,4.25,16,10.0833,4.667,12.667,10.583,3.75,3.167,7,16.667,29,4,2.3333,8.917,0.5,8.25,22.5,8,27,5.4167,1.083,5.6667,9,10,11.75,5.1667,1,13,1,6.8333,2.5,10,2.9167,9,1.1667,19,11.333,5.6667,5.6667,22,19.3333,3.25,6.75,8,1.4167,16.75,0.25,3.6667,9.5,13.6667,5.75,3,6.4167,15,4.5833,0.3333,2.8333,2,12.75,6.75,11.4167,1.6667,12,
