Date,MSFT ,AAPL ,V ,MA ,INTC ,CSCO ,ADBE ,CRM ,IBM ,ORCL ,TXN ,PYPL ,ACN ,NVDA ,AVGO ,QCOM ,FIS ,ADP ,INTU ,FISV ,MU ,GPN ,AMAT ,ADI ,LRCX ,CTSH ,AMD ,ADSK ,TEL ,APH ,MSI ,PAYX ,KLAC ,FLT ,HPQ ,XLNX ,MCHP ,GLW ,SNPS ,HPE ,VRSN ,ANSS ,CDNS ,KEYS ,CDW ,WDC ,MXIM ,AKAM ,SWKS ,BR ,SYMC ,IT ,ANET ,STX ,NTAP ,CTXS ,FTNT ,LDOS ,JKHY ,WU ,QRVO ,JNPR ,FFIV ,DXC ,SSIXX ,FLIR ,XRX ,ADS ,IPGP 
12/31/2007,7.5,7.75,0.4167,10.75,2.6667,12.5833,1.0833,5.25,5.8333,12,3.6667,#N/A,#N/A,13.8333,#N/A,2.25,3.6667,0.9167,7.583,2.0833,13,8,4.5833,11.0833,2.0833,1,5.75,0.75,1.75,11.6667,4,2.6667,1.5,#N/A,2.5833,11.25,15.5,2.75,13.8333,#N/A,0.6667,7.9167,3.6667,#N/A,#N/A,0.5,0.5,2.75,5.3333,0.5,8,3.417,#N/A,7.5,12.5833,6.6667,#N/A,3.25,3,1.3333,#N/A,11.25,7.25,#N/A,#N/A,7.1667,#N/A,10.833,18
12/31/2008,8.5,8.75,1.4167,11.75,3.6667,13.5833,1,6.25,6.8333,13,4.6667,#N/A,#N/A,14.8333,#N/A,3.25,4.6667,1.9167,0.583,3.0833,14,9,5.5833,12.0833,3.0833,2,0.5,1.75,2.75,12.6667,0.4167,3.6667,2.5,#N/A,3.5833,0.25,16.5,3.75,14.8333,#N/A,0.5833,8.9167,0.0833,#N/A,#N/A,1.5,1.5,3.75,6.4167,1.5,9,4.417,#N/A,8.5,13.5833,7.6667,8.25,4.25,4,2.3333,#N/A,0.3333,8.25,#N/A,,8.1667,,11.833,19
12/31/2009,9.5,0.75,2.4167,12.75,4.6667,14.5833,2,7.25,7.8333,14,5.6667,#N/A,#N/A,15.8333,#N/A,4.25,0.25,2.9167,1.583,4.0833,15.0833,10,6.5833,13,4.0833,3,1.5,2.75,3.75,1,1.4167,4.6667,3.5,9.4167,4.5833,1.25,17.5,4.75,15.8333,#N/A,0.4167,9.9167,1.0833,#N/A,#N/A,2.5833,2.5,4.75,7.4167,2.5,0.0833,5.417,#N/A,0.5833,14.5833,8.6667,9.25,5.25,5,3.3333,#N/A,1.3333,9.25,#N/A,,9.1667,,0.833,20
12/31/2010,10.5,10.75,3.4167,0.5,5.6667,15.5833,3.0833,8.25,8.8333,15,6.6667,#N/A,1,16.8333,#N/A,5.25,1.25,3.9167,2.583,5.0833,16.0833,11,7.5833,14,5.0833,4,2.5,3.75,4.75,2,2.4167,5.6667,4.5,10.4167,0.25,2.3333,18.5,5.75,16.8333,#N/A,1.4167,10.9167,2.0833,#N/A,#N/A,3.5833,3.5,5.75,8.4167,3.5,1.0833,6.417,#N/A,1.5833,0.75,9.6667,10.25,0.4167,6,0.3333,#N/A,2.3333,10.25,#N/A,,10.1667,,1.833,21
12/30/2011,11.5,0.1667,4.4167,1.5,6.6667,16.5833,4.0833,9.25,9.8333,16,7.6667,#N/A,0.6667,17.8333,#N/A,6.25,2.25,4.9167,3.583,6.0833,17.0833,12,8.5833,15,6.0833,5,0.4167,4.75,5.75,3,3.4167,0.75,5.5,11.4167,0.1667,3.3333,19.5,6.75,17.8333,#N/A,2.4167,11.9167,3,#N/A,0.25,4.5833,4.5,6.75,9.3333,4.5,2.0833,7.417,#N/A,2.5833,1.75,10.6667,11.25,1.4167,7,1.3333,#N/A,3.3333,11.25,#N/A,,11.1667,,2.833,22
12/31/2012,12.5,1.1667,5.4167,2.5,7.6667,17.5833,5,10.25,1,17,8.6667,#N/A,1.6667,18.8333,#N/A,7.25,3.25,0.6667,4.583,7.0833,0.5833,13,9.5833,16.0833,0.5,6,1.4167,5.75,6.75,4,5,1.75,6.5,12.4167,1.1667,4.25,20.5,7.75,0.5,#N/A,3.4167,12.9167,4,#N/A,1.25,5.5,5.5,7.75,10.3333,5.5,3,8.417,#N/A,3.5,2.75,11.6667,12.25,2.4167,8,2.3333,#N/A,4.3333,12.25,#N/A,,12.1667,,3.833,23
12/31/2013,13.5,2.1667,0.9167,3.5,0.6667,18.5833,6,11.25,2,18,9.6667,#N/A,2.6667,19.8333,#N/A,8.25,4.25,1.6667,5.583,8.0833,1.5833,14,0.1667,0.75,1.5,7,2.4167,6.75,7.75,5,6,2.75,7.5,13.4167,2.1667,5.25,21.5,8.75,1.5,#N/A,4.4167,13.9167,5,0.1667,2.25,0.5,6.5,1,11.3333,6.5,0.75,9.417,5.25,4.5,3.75,0.25,13.25,0.9167,9,3.3333,#N/A,5.3333,13.25,#N/A,,0.6667,,4.833,24
12/31/2014,0.4167,3.1667,1.9167,4.5,1.6667,19.5833,7,12.25,3,19,10.6667,#N/A,3.6667,20.8333,8.75,0.5833,5.25,2.6667,6.583,9.0833,2.5833,0.6667,1.1667,1.5833,2.5,8,0.25,7.75,8.75,6,7,3.75,8.5,14.4167,3.1667,6.25,22.5,9.75,2.5,#N/A,5.4167,14.9167,6.0833,1.1667,3.25,1.5,7.5,2,12.4167,7.5,0.0833,10.417,6.25,5.5,4.75,1.25,14.25,1.9167,10,4.3333,#N/A,0.1667,14.25,#N/A,,1.6667,,5.833,25
12/31/2015,1.4167,4.1667,2.9167,5.5,2.6667,20.5833,8,13.25,4,0.75,11.6667,0.5,4.6667,21.8333,9.75,1.5833,1,3.6667,7.583,10.0833,3.6667,1.6667,2.1667,2.5,3.5,9,1.25,8.75,9.75,7,8,4.75,9.5,15.4167,4.1667,7.25,23.5,10.75,3.5,#N/A,6.4167,15.9167,7.0833,2.1667,4.25,2.5833,8.5,3,13.4167,8.5,1.1667,11.417,7.25,6.5833,5.75,0.25,15.25,1.5833,11,5.3333,0.25,1.1667,0.25,#N/A,,2.6667,,6.833,26
12/30/2016,2.4167,5.1667,3.9167,6.5,3.6667,1.0833,9.0833,14.25,5,1.75,12.6667,1.5,5.6667,22.8333,10.6667,2.5833,2,4.6667,8.583,11.0833,4.6667,2.6667,3.1667,3.5,4.5,10,2.25,9.75,10.75,8,9,5.75,10.5,16.4167,1,8.3333,24.5,11.75,4.5,1,7.4167,16.9167,8,3.1667,5.25,3.5833,9.5,4,0.4167,9.5,1.6667,12.417,8.25,7.5833,0.9167,1,16.25,2.5,12,6.3333,1.3333,2.1667,0.833,#N/A,,3.6667,,7.833,27
